pattern,noise_std,trial,seed,configuration,window_size,stride,metric,positive_window_count,minimum_ratio,minimum_ratio_window_coverage,average_precision
vertical_bars,15,0,20272922,fine_32,32,16,tenengrad_energy,21,0.160341,1.000000,1.000000
vertical_bars,15,1,20272923,overlap_64,64,32,laplacian_variance,5,0.329805,1.000000,1.000000
vertical_bars,15,1,20272923,overlap_64,64,32,tenengrad_energy,5,0.152019,1.000000,1.000000
vertical_bars,15,1,20272923,fine_32,32,16,laplacian_variance,21,0.373617,1.000000,1.000000
vertical_bars,15,1,20272923,fine_32,32,16,tenengrad_energy,21,0.162392,1.000000,1.000000
vertical_bars,15,2,20272924,overlap_64,64,32,laplacian_variance,5,0.328937,1.000000,1.000000
vertical_bars,15,2,20272924,overlap_64,64,32,tenengrad_energy,5,0.148960,1.000000,1.000000
vertical_bars,15,2,20272924,fine_32,32,16,laplacian_variance,21,0.389730,1.000000,1.000000
vertical_bars,15,2,20272924,fine_32,32,16,tenengrad_energy,21,0.160727,1.000000,1.000000
vertical_bars,15,3,20272925,overlap_64,64,32,laplacian_variance,5,0.342461,1.000000,1.000000
vertical_bars,15,3,20272925,overlap_64,64,32,tenengrad_energy,5,0.151132,1.000000,1.000000
vertical_bars,15,3,20272925,fine_32,32,16,laplacian_variance,21,0.357993,1.000000,1.000000
vertical_bars,15,3,20272925,fine_32,32,16,tenengrad_energy,21,0.163288,1.000000,1.000000
vertical_bars,15,4,20272926,overlap_64,64,32,laplacian_variance,5,0.330035,1.000000,1.000000
vertical_bars,15,4,20272926,overlap_64,64,32,tenengrad_energy,5,0.152409,1.000000,1.000000
vertical_bars,15,4,20272926,fine_32,32,16,laplacian_variance,21,0.381109,1.000000,1.000000
vertical_bars,15,4,20272926,fine_32,32,16,tenengrad_energy,21,0.165775,1.000000,1.000000
vertical_bars,15,5,20272927,overlap_64,64,32,laplacian_variance,5,0.329860,1.000000,1.000000
vertical_bars,15,5,20272927,overlap_64,64,32,tenengrad_energy,5,0.149779,1.000000,1.000000
vertical_bars,15,5,20272927,fine_32,32,16,laplacian_variance,21,0.358991,1.000000,1.000000
vertical_bars,15,5,20272927,fine_32,32,16,tenengrad_energy,21,0.162643,1.000000,1.000000
vertical_bars,15,6,20272928,overlap_64,64,32,laplacian_variance,5,0.325868,1.000000,1.000000
vertical_bars,15,6,20272928,overlap_64,64,32,tenengrad_energy,5,0.153336,1.000000,1.000000
vertical_bars,15,6,20272928,fine_32,32,16,laplacian_variance,21,0.333199,1.000000,1.000000
vertical_bars,15,6,20272928,fine_32,32,16,tenengrad_energy,21,0.166698,1.000000,1.000000
vertical_bars,15,7,20272929,overlap_64,64,32,laplacian_variance,5,0.331501,1.000000,1.000000
vertical_bars,15,7,20272929,overlap_64,64,32,tenengrad_energy,5,0.149667,1.000000,1.000000
vertical_bars,15,7,20272929,fine_32,32,16,laplacian_variance,21,0.365883,1.000000,1.000000
vertical_bars,15,7,20272929,fine_32,32,16,tenengrad_energy,21,0.163054,1.000000,1.000000
vertical_bars,15,8,20272930,overlap_64,64,32,laplacian_variance,5,0.315752,1.000000,1.000000
vertical_bars,15,8,20272930,overlap_64,64,32,tenengrad_energy,5,0.149623,1.000000,1.000000
vertical_bars,15,8,20272930,fine_32,32,16,laplacian_variance,21,0.359315,1.000000,1.000000
vertical_bars,15,8,20272930,fine_32,32,16,tenengrad_energy,21,0.159456,1.000000,1.000000
vertical_bars,15,9,20272931,overlap_64,64,32,laplacian_variance,5,0.326895,1.000000,1.000000
vertical_bars,15,9,20272931,overlap_64,64,32,tenengrad_energy,5,0.150719,1.000000,1.000000
vertical_bars,15,9,20272931,fine_32,32,16,laplacian_variance,21,0.357711,1.000000,1.000000
vertical_bars,15,9,20272931,fine_32,32,16,tenengrad_energy,21,0.162580,1.000000,1.000000
concentric_tiles,0,0,20280922,overlap_64,64,32,laplacian_variance,5,0.001170,1.000000,1.000000
concentric_tiles,0,0,20280922,overlap_64,64,32,tenengrad_energy,5,0.027436,1.000000,1.000000
concentric_tiles,0,0,20280922,fine_32,32,16,laplacian_variance,21,0.001340,1.000000,1.000000
concentric_tiles,0,0,20280922,fine_32,32,16,tenengrad_energy,21,0.027538,1.000000,1.000000
concentric_tiles,0,1,20280923,overlap_64,64,32,laplacian_variance,5,0.001170,1.000000,1.000000
concentric_tiles,0,1,20280923,overlap_64,64,32,tenengrad_energy,5,0.027436,1.000000,1.000000
concentric_tiles,0,1,20280923,fine_32,32,16,laplacian_variance,21,0.001340,1.000000,1.000000
concentric_tiles,0,1,20280923,fine_32,32,16,tenengrad_energy,21,0.027538,1.000000,1.000000
concentric_tiles,0,2,20280924,overlap_64,64,32,laplacian_variance,5,0.001170,1.000000,1.000000
concentric_tiles,0,2,20280924,overlap_64,64,32,tenengrad_energy,5,0.027436,1.000000,1.000000
concentric_tiles,0,2,20280924,fine_32,32,16,laplacian_variance,21,0.001340,1.000000,1.000000
concentric_tiles,0,2,20280924,fine_32,32,16,tenengrad_energy,21,0.027538,1.000000,1.000000
concentric_tiles,0,3,20280925,overlap_64,64,32,laplacian_variance,5,0.001170,1.000000,1.000000
concentric_tiles,0,3,20280925,overlap_64,64,32,tenengrad_energy,5,0.027436,1.000000,1.000000
concentric_tiles,0,3,20280925,fine_32,32,16,laplacian_variance,21,0.001340,1.000000,1.000000
concentric_tiles,0,3,20280925,fine_32,32,16,tenengrad_energy,21,0.027538,1.000000,1.000000
concentric_tiles,0,4,20280926,overlap_64,64,32,laplacian_variance,5,0.001170,1.000000,1.000000
concentric_tiles,0,4,20280926,overlap_64,64,32,tenengrad_energy,5,0.027436,1.000000,1.000000
concentric_tiles,0,4,20280926,fine_32,32,16,laplacian_variance,21,0.001340,1.000000,1.000000
concentric_tiles,0,4,20280926,fine_32,32,16,tenengrad_energy,21,0.027538,1.000000,1.000000
concentric_tiles,0,5,20280927,overlap_64,64,32,laplacian_variance,5,0.001170,1.000000,1.000000
concentric_tiles,0,5,20280927,overlap_64,64,32,tenengrad_energy,5,0.027436,1.000000,1.000000
concentric_tiles,0,5,20280927,fine_32,32,16,laplacian_variance,21,0.001340,1.000000,1.000000
concentric_tiles,0,5,20280927,fine_32,32,16,tenengrad_energy,21,0.027538,1.000000,1.000000
concentric_tiles,0,6,20280928,overlap_64,64,32,laplacian_variance,5,0.001170,1.000000,1.000000
concentric_tiles,0,6,20280928,overlap_64,64,32,tenengrad_energy,5,0.027436,1.000000,1.000000
concentric_tiles,0,6,20280928,fine_32,32,16,laplacian_variance,21,0.001340,1.000000,1.000000
concentric_tiles,0,6,20280928,fine_32,32,16,tenengrad_energy,21,0.027538,1.000000,1.000000
concentric_tiles,0,7,20280929,overlap_64,64,32,laplacian_variance,5,0.001170,1.000000,1.000000
concentric_tiles,0,7,20280929,overlap_64,64,32,tenengrad_energy,5,0.027436,1.000000,1.000000
concentric_tiles,0,7,20280929,fine_32,32,16,laplacian_variance,21,0.001340,1.000000,1.000000
concentric_tiles,0,7,20280929,fine_32,32,16,tenengrad_energy,21,0.027538,1.000000,1.000000
concentric_tiles,0,8,20280930,overlap_64,64,32,laplacian_variance,5,0.001170,1.000000,1.000000
concentric_tiles,0,8,20280930,overlap_64,64,32,tenengrad_energy,5,0.027436,1.000000,1.000000
