pattern,placement,blur_sigma,configuration,window_size,stride,metric,window_count,positive_window_count,max_window_coverage,minimum_ratio,minimum_ratio_window_coverage,best_coverage_ratio,average_precision
concentric_tiles,offset_32,1,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.033006,1.000000,0.033006,1.000000
concentric_tiles,offset_32,1,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.503306,1.000000,0.503306,1.000000
concentric_tiles,offset_32,1,fine_32,32,16,laplacian_variance,225,21,1.000000,0.034618,1.000000,0.036703,1.000000
concentric_tiles,offset_32,1,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.504145,1.000000,0.505603,1.000000
concentric_tiles,offset_32,1,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.766616,0.250000,0.766616,
concentric_tiles,offset_32,1,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.874590,0.250000,0.874590,
concentric_tiles,offset_32,2,nonoverlap_64,64,64,laplacian_variance,16,0,0.250000,0.760593,0.250000,0.760593,
concentric_tiles,offset_32,2,nonoverlap_64,64,64,tenengrad_energy,16,0,0.250000,0.791361,0.250000,0.791361,
concentric_tiles,offset_32,2,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.007341,1.000000,0.007341,1.000000
concentric_tiles,offset_32,2,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.158155,1.000000,0.158155,1.000000
concentric_tiles,offset_32,2,fine_32,32,16,laplacian_variance,225,21,1.000000,0.008215,1.000000,0.008421,1.000000
concentric_tiles,offset_32,2,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.158965,1.000000,0.160522,1.000000
concentric_tiles,offset_32,2,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.764343,0.250000,0.764343,
concentric_tiles,offset_32,2,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.789950,0.250000,0.789950,
concentric_tiles,offset_32,3,nonoverlap_64,64,64,laplacian_variance,16,0,0.250000,0.763129,0.250000,0.763129,
concentric_tiles,offset_32,3,nonoverlap_64,64,64,tenengrad_energy,16,0,0.250000,0.762484,0.250000,0.762484,
concentric_tiles,offset_32,3,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.001170,1.000000,0.001170,1.000000
concentric_tiles,offset_32,3,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.027436,1.000000,0.027436,1.000000
concentric_tiles,offset_32,3,fine_32,32,16,laplacian_variance,225,21,1.000000,0.001340,1.000000,0.001425,1.000000
concentric_tiles,offset_32,3,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.027538,1.000000,0.029836,1.000000
concentric_tiles,offset_32,3,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.767122,0.250000,0.767122,
concentric_tiles,offset_32,3,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.761088,0.250000,0.761088,
