pattern,gradient_axis_degrees,condition,blur_model,defocus_radius,motion_length,motion_angle_degrees,relative_motion_angle_degrees,noise_std,metric,trials,score_mean,score_sample_std,score_p10,score_median,score_p90,ratio_mean,ratio_sample_std,ratio_p10,ratio_median,ratio_p90
grating_45,45,defocus_r3,disk_defocus,3,,,,15,tenengrad_energy,10,43245.159909,113.892255,43121.964652,43243.962692,43344.621957,0.717383,0.000553,0.716747,0.717284,0.718105
grating_45,45,defocus_r5,disk_defocus,5,,,,0,laplacian_variance,10,48.906403,0.000000,48.906403,48.906403,48.906403,0.283825,0.000000,0.283825,0.283825,0.283825
grating_45,45,defocus_r5,disk_defocus,5,,,,0,tenengrad_energy,10,18549.096466,0.000000,18549.096466,18549.096466,18549.096466,0.334205,0.000000,0.334205,0.334205,0.334205
grating_45,45,defocus_r5,disk_defocus,5,,,,5,laplacian_variance,10,551.549573,2.919514,548.780416,551.250393,555.174722,0.816980,0.000845,0.815933,0.816959,0.817936
grating_45,45,defocus_r5,disk_defocus,5,,,,5,tenengrad_energy,10,19146.823904,12.892648,19128.029278,19149.760986,19157.570926,0.341340,0.000083,0.341253,0.341351,0.341430
grating_45,45,defocus_r5,disk_defocus,5,,,,15,laplacian_variance,10,4571.535502,32.461559,4529.999365,4576.230386,4611.963286,1.014924,0.001720,1.012815,1.015114,1.016518
grating_45,45,defocus_r5,disk_defocus,5,,,,15,tenengrad_energy,10,23900.498062,93.571034,23803.502048,23901.545945,23980.569721,0.396478,0.000821,0.395647,0.396363,0.397221
grating_45,45,motion_l5_a0,linear_motion,,5,0,45,0,laplacian_variance,10,140.990127,0.000000,140.990127,140.990127,140.990127,0.818227,0.000000,0.818227,0.818227,0.818227
grating_45,45,motion_l5_a0,linear_motion,,5,0,45,0,tenengrad_energy,10,49203.179260,0.000000,49203.179260,49203.179260,49203.179260,0.886510,0.000000,0.886510,0.886510,0.886510
grating_45,45,motion_l5_a0,linear_motion,,5,0,45,5,laplacian_variance,10,643.657219,3.339401,639.940747,643.256301,647.873429,0.953414,0.000653,0.952737,0.953175,0.954202
