fixture_id,fixture_family,mutation,encoder,policy,platform_profiles,source_decode_rate,output_rate,strict_accept_rate_among_outputs,output_decode_rate_among_outputs,byte_exact_envelope_rate_among_applicable,semantic_retention_rate_among_applicable,compressed_core_exact_rate,pixel_exact_rate_among_decoded_outputs,unique_output_jpeg_hashes,unique_output_pixel_hashes,behavior_signature_count,error_categories
icc_truncated_chunk_header,malformed_icc,missing_chunk_count,opencv,normalize,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
icc_truncated_chunk_header,malformed_icc,missing_chunk_count,opencv,reject,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
icc_truncated_profile,malformed_icc,profile_size_mismatch,pillow,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
icc_truncated_profile,malformed_icc,profile_size_mismatch,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_truncated_profile,malformed_icc,profile_size_mismatch,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_truncated_profile,malformed_icc,profile_size_mismatch,pillow,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
icc_truncated_profile,malformed_icc,profile_size_mismatch,opencv,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
icc_truncated_profile,malformed_icc,profile_size_mismatch,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_truncated_profile,malformed_icc,profile_size_mismatch,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_truncated_profile,malformed_icc,profile_size_mismatch,opencv,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
icc_zero_sequence,malformed_icc,zero_sequence_number,pillow,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
icc_zero_sequence,malformed_icc,zero_sequence_number,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_zero_sequence,malformed_icc,zero_sequence_number,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_zero_sequence,malformed_icc,zero_sequence_number,pillow,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
icc_zero_sequence,malformed_icc,zero_sequence_number,opencv,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
icc_zero_sequence,malformed_icc,zero_sequence_number,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_zero_sequence,malformed_icc,zero_sequence_number,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_zero_sequence,malformed_icc,zero_sequence_number,opencv,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
rgb_control,control,none,pillow,preserve,5,1.000000,1.000000,1.000000,1.000000,nan,nan,1.000000,1.000000,1,1,1,none
rgb_control,control,none,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,nan,nan,1.000000,1.000000,1,1,1,none
