pipeline,pipeline_description,noise_std,blur_sigma,metric,observations,same_input_ratio_mean,same_input_ratio_sample_std,same_input_ratio_p10,same_input_ratio_median,same_input_ratio_p90,sharp_anchor_ratio_mean,sharp_anchor_ratio_sample_std,zero_fraction_mean,full_scale_fraction_mean
contrast_1_25,Grayscale linear transform with alpha 1.25,0,3,laplacian_variance,30,1.705129,0.105087,1.607616,1.659645,1.848126,0.008406,0.004534,0.000000,0.000153
contrast_1_25,Grayscale linear transform with alpha 1.25,0,3,tenengrad_energy,30,1.560974,0.004457,1.555506,1.561181,1.566234,0.183971,0.106350,0.000000,0.000153
contrast_1_25,Grayscale linear transform with alpha 1.25,5,0,laplacian_variance,30,1.447139,0.142729,1.249003,1.536283,1.557076,2.012381,0.746993,0.000000,0.181491
contrast_1_25,Grayscale linear transform with alpha 1.25,5,0,tenengrad_energy,30,1.453508,0.144059,1.253259,1.547519,1.559999,1.545091,0.226634,0.000000,0.181491
contrast_1_25,Grayscale linear transform with alpha 1.25,5,1,laplacian_variance,30,1.561437,0.032962,1.524030,1.557009,1.603217,0.635614,0.635130,0.000000,0.100345
contrast_1_25,Grayscale linear transform with alpha 1.25,5,1,tenengrad_energy,30,1.512543,0.062930,1.425175,1.550395,1.561889,0.813342,0.192680,0.000000,0.100345
contrast_1_25,Grayscale linear transform with alpha 1.25,5,2,laplacian_variance,30,1.546952,0.017177,1.526692,1.544987,1.569015,0.575102,0.656295,0.000000,0.017962
contrast_1_25,Grayscale linear transform with alpha 1.25,5,2,tenengrad_energy,30,1.554246,0.006090,1.548826,1.550838,1.562723,0.445610,0.200709,0.000000,0.017962
contrast_1_25,Grayscale linear transform with alpha 1.25,5,3,laplacian_variance,30,1.558111,0.017869,1.532302,1.569771,1.571820,0.569533,0.660852,0.000000,0.006399
contrast_1_25,Grayscale linear transform with alpha 1.25,5,3,tenengrad_energy,30,1.557856,0.007017,1.547500,1.562528,1.562990,0.269779,0.208516,0.000000,0.006399
contrast_1_25,Grayscale linear transform with alpha 1.25,15,0,laplacian_variance,30,1.399289,0.131027,1.217249,1.484522,1.497855,6.197859,5.751170,0.000001,0.194161
contrast_1_25,Grayscale linear transform with alpha 1.25,15,0,tenengrad_energy,30,1.423572,0.125494,1.248933,1.499153,1.521521,2.160196,1.020363,0.000001,0.194161
contrast_1_25,Grayscale linear transform with alpha 1.25,15,1,laplacian_variance,30,1.448306,0.075424,1.342427,1.499723,1.502268,4.912386,5.679692,0.000001,0.103553
contrast_1_25,Grayscale linear transform with alpha 1.25,15,1,tenengrad_energy,30,1.484078,0.058773,1.403887,1.508993,1.539533,1.458147,1.029823,0.000001,0.103553
contrast_1_25,Grayscale linear transform with alpha 1.25,15,2,laplacian_variance,30,1.510083,0.024186,1.482718,1.504799,1.542115,4.892092,5.697255,0.000000,0.027919
contrast_1_25,Grayscale linear transform with alpha 1.25,15,2,tenengrad_energy,30,1.530714,0.017516,1.509605,1.529270,1.552464,1.107690,1.050112,0.000000,0.027919
contrast_1_25,Grayscale linear transform with alpha 1.25,15,3,laplacian_variance,30,1.544317,0.024745,1.509264,1.560952,1.562240,4.942481,5.756967,0.000000,0.010307
contrast_1_25,Grayscale linear transform with alpha 1.25,15,3,tenengrad_energy,30,1.545456,0.023374,1.512091,1.561421,1.562072,0.942590,1.075158,0.000000,0.010307
gamma_0_7,Grayscale power-law transform with gamma 0.7,0,0,laplacian_variance,30,0.746661,0.057511,0.673977,0.754129,0.811876,0.746661,0.057511,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,0,0,tenengrad_energy,30,0.746952,0.057087,0.674941,0.754039,0.811876,0.746952,0.057087,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,0,1,laplacian_variance,30,0.743214,0.027509,0.708593,0.746441,0.774607,0.037203,0.009004,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,0,1,tenengrad_energy,30,0.740773,0.050121,0.676081,0.750672,0.795565,0.351740,0.017835,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,0,2,laplacian_variance,30,0.800591,0.036669,0.772457,0.777834,0.851483,0.007796,0.001243,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,0,2,tenengrad_energy,30,0.732265,0.040387,0.677563,0.748622,0.770610,0.166880,0.043626,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,0,3,laplacian_variance,30,0.856938,0.062448,0.787130,0.847124,0.936561,0.004255,0.002319,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,0,3,tenengrad_energy,30,0.724189,0.032600,0.678998,0.743734,0.749835,0.083391,0.045615,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,5,0,laplacian_variance,30,0.759930,0.046453,0.705824,0.756018,0.817692,1.022468,0.260140,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,5,0,tenengrad_energy,30,0.750552,0.054389,0.683449,0.753471,0.814611,0.791457,0.021164,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,5,1,laplacian_variance,30,0.764628,0.025239,0.735214,0.761844,0.796514,0.307955,0.305859,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,5,1,tenengrad_energy,30,0.745931,0.044326,0.689747,0.751742,0.796197,0.393941,0.058203,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,5,2,laplacian_variance,30,0.761215,0.021183,0.736568,0.758763,0.788589,0.277848,0.316415,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,5,2,tenengrad_energy,30,0.739711,0.031797,0.697315,0.749224,0.772441,0.208194,0.085887,0.000000,0.000000
gamma_0_7,Grayscale power-law transform with gamma 0.7,5,3,laplacian_variance,30,0.748170,0.009106,0.735877,0.751836,0.757156,0.273260,0.317196,0.000000,0.000000
